id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR24,2021-08-26,Normal,Hidrogênio,0.0
TR24,2022-03-09,Normal,Hidrogênio,5.0
TR24,2022-08-17,Normal,Hidrogênio,5.0
TR24,2024-08-24,Normal,Hidrogênio,3.0
TR24,2025-02-10,Normal,Hidrogênio,2.0
TR24,2025-09-02,Normal,Hidrogênio,0.0
TR24,2026-02-09,Normal,Hidrogênio,8.0
TR24,2019-02-12,Normal,Metano,2.0
TR24,2019-09-03,Normal,Metano,4.0
TR24,2020-02-12,Normal,Metano,6.0
TR24,2020-09-10,Normal,Metano,5.0
TR24,2021-03-02,Normal,Metano,5.0
TR24,2021-08-26,Normal,Metano,5.0
TR24,2022-03-09,Normal,Metano,9.0
TR24,2022-08-17,Normal,Metano,10.0
TR24,2024-08-24,Normal,Metano,13.0
TR24,2025-02-10,Normal,Metano,7.0
TR24,2025-09-02,Normal,Metano,4.0
TR24,2026-02-09,Normal,Metano,22.0
TR24,2019-02-12,Normal,Monóxido de Carbono,108.0
TR24,2019-09-03,Normal,Monóxido de Carbono,336.0
TR24,2020-02-12,Normal,Monóxido de Carbono,465.0
TR24,2020-09-10,Normal,Monóxido de Carbono,480.0
TR24,2021-03-02,Normal,Monóxido de Carbono,507.0
TR24,2021-08-26,Normal,Monóxido de Carbono,350.0
TR24,2022-03-09,Normal,Monóxido de Carbono,583.0
TR24,2022-08-17,Normal,Monóxido de Carbono,446.0
TR24,2024-08-24,Normal,Monóxido de Carbono,595.0
TR24,2025-02-10,Normal,Monóxido de Carbono,571.0
TR24,2025-09-02,Normal,Monóxido de Carbono,90.0
TR24,2026-02-09,Normal,Monóxido de Carbono,831.0
TR25,2022-05-12,Normal,Acetileno,0.0
TR25,2023-06-20,Normal,Acetileno,0.0
TR25,2024-06-17,Normal,Acetileno,0.0
TR25,2024-11-19,Normal,Acetileno,0.0
TR25,2025-12-23,Normal,Acetileno,0.0
TR25,2026-05-12,Normal,Acetileno,0.0
TR25,2022-05-12,Normal,Dióxido de Carbono,59.0
TR25,2023-06-20,Normal,Dióxido de Carbono,226.0
TR25,2024-06-17,Normal,Dióxido de Carbono,1273.0
TR25,2024-11-19,Normal,Dióxido de Carbono,3608.0
TR25,2025-12-23,Normal,Dióxido de Carbono,1875.0
TR25,2026-05-12,Normal,Dióxido de Carbono,1491.0
TR25,2022-05-12,Normal,Etano,0.0
TR25,2023-06-20,Normal,Etano,0.0
TR25,2024-06-17,Normal,Etano,0.0
TR25,2024-11-19,Normal,Etano,0.0
TR25,2025-12-23,Normal,Etano,0.0
TR25,2026-05-12,Normal,Etano,0.0
TR25,2022-05-12,Normal,Etileno,0.0
TR25,2023-06-20,Normal,Etileno,0.0
TR25,2024-06-17,Normal,Etileno,0.0
TR25,2024-11-19,Normal,Etileno,0.0
TR25,2025-12-23,Normal,Etileno,0.0
TR25,2026-05-12,Normal,Etileno,1.0
TR25,2022-05-12,Normal,Hidrogênio,3.0
TR25,2023-06-20,Normal,Hidrogênio,12.0
TR25,2024-06-17,Normal,Hidrogênio,17.0
TR25,2024-11-19,Normal,Hidrogênio,13.0
TR25,2025-12-23,Normal,Hidrogênio,3.0
TR25,2026-05-12,Normal,Hidrogênio,10.0
TR25,2022-05-12,Normal,Metano,0.0
TR25,2023-06-20,Normal,Metano,1.0
TR25,2024-06-17,Normal,Metano,2.0
TR25,2024-11-19,Normal,Metano,3.0
TR25,2025-12-23,Normal,Metano,7.0
TR25,2026-05-12,Normal,Metano,6.0
TR25,2022-05-12,Normal,Monóxido de Carbono,11.0
TR25,2023-06-20,Normal,Monóxido de Carbono,116.0
TR25,2024-06-17,Normal,Monóxido de Carbono,767.0
TR25,2024-11-19,Normal,Monóxido de Carbono,614.0
TR25,2025-12-23,Normal,Monóxido de Carbono,412.0
TR25,2026-05-12,Normal,Monóxido de Carbono,389.0
TR26,2020-06-24,Normal,Acetileno,0.0
TR26,2021-01-22,Normal,Acetileno,0.0
TR26,2021-09-14,Normal,Acetileno,0.0
TR26,2022-03-11,Normal,Acetileno,0.0
TR26,2022-08-30,Normal,Acetileno,0.0
TR26,2023-03-03,Normal,Acetileno,0.0
TR26,2023-08-18,Normal,Acetileno,0.0
TR26,2024-03-20,Normal,Acetileno,0.0
TR26,2024-10-29,Normal,Acetileno,0.0
TR26,2025-08-25,Normal,Acetileno,0.0
TR26,2026-04-09,Atenção,Acetileno,0.0
TR26,2020-06-24,Normal,Dióxido de Carbono,234.0
TR26,2021-01-22,Normal,Dióxido de Carbono,289.0
TR26,2021-09-14,Normal,Dióxido de Carbono,553.0
TR26,2022-03-11,Normal,Dióxido de Carbono,828.0
TR26,2022-08-30,Normal,Dióxido de Carbono,1878.0
TR26,2023-03-03,Normal,Dióxido de Carbono,888.0
TR26,2023-08-18,Normal,Dióxido de Carbono,933.0
TR26,2024-03-20,Normal,Dióxido de Carbono,1485.0
TR26,2024-10-29,Normal,Dióxido de Carbono,1478.0
TR26,2025-08-25,Normal,Dióxido de Carbono,2228.0
TR26,2026-04-09,Atenção,Dióxido de Carbono,3380.0
TR26,2020-06-24,Normal,Etano,0.0
TR26,2021-01-22,Normal,Etano,0.0
TR26,2021-09-14,Normal,Etano,1.0
TR26,2022-03-11,Normal,Etano,1.0
TR26,2022-08-30,Normal,Etano,1.0
TR26,2023-03-03,Normal,Etano,0.0
TR26,2023-08-18,Normal,Etano,0.0
TR26,2024-03-20,Normal,Etano,1.0
TR26,2024-10-29,Normal,Etano,1.0
TR26,2025-08-25,Normal,Etano,1.0
TR26,2026-04-09,Atenção,Etano,1.0
TR26,2020-06-24,Normal,Etileno,0.0
TR26,2021-01-22,Normal,Etileno,0.0
TR26,2021-09-14,Normal,Etileno,0.0
TR26,2022-03-11,Normal,Etileno,0.0
TR26,2022-08-30,Normal,Etileno,0.0
TR26,2023-03-03,Normal,Etileno,0.0
TR26,2023-08-18,Normal,Etileno,0.0
TR26,2024-03-20,Normal,Etileno,0.0
TR26,2024-10-29,Normal,Etileno,0.0
TR26,2025-08-25,Normal,Etileno,0.0
TR26,2026-04-09,Atenção,Etileno,21.0
TR26,2020-06-24,Normal,Hidrogênio,4.0
TR26,2021-01-22,Normal,Hidrogênio,5.0
TR26,2021-09-14,Normal,Hidrogênio,4.0
TR26,2022-03-11,Normal,Hidrogênio,20.0
TR26,2022-08-30,Normal,Hidrogênio,18.0
TR26,2023-03-03,Normal,Hidrogênio,8.0
TR26,2023-08-18,Normal,Hidrogênio,13.0
TR26,2024-03-20,Normal,Hidrogênio,12.0
